iter	Passed	Remaining
0	1	108
1	2	104
2	3	99
3	3	91
4	4	92
5	5	88
6	6	85
7	7	83
8	8	82
9	8	80
10	9	78
11	10	77
12	11	75
13	11	73
14	12	71
15	13	69
16	13	67
17	14	67
18	15	65
19	16	65
20	17	63
21	17	62
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
