iter	Passed	Remaining
0	148	147866
1	148	74171
2	149	49646
3	150	37368
4	150	30006
5	151	25090
6	152	21570
7	152	18945
8	153	16893
9	154	15248
10	154	13903
11	155	12781
12	155	11834
13	156	11023
14	157	10319
15	157	9702
16	158	9159
17	159	8679
18	159	8245
19	160	7858
20	160	7505
21	161	7184
22	162	6890
23	162	6621
24	163	6374
25	164	6144
26	164	5933
27	165	5737
28	165	5554
29	166	5384
30	167	5224
31	167	5074
32	168	4932
33	168	4801
34	169	4676
35	170	4557
36	170	4445
37	171	4341
38	172	4242
39	172	4147
40	173	4055
41	174	3969
42	174	3886
43	175	3807
44	175	3730
45	176	3658
46	177	3591
47	177	3527
48	178	3464
49	179	3403
50	179	3344
51	180	3287
52	180	3233
53	181	3180
54	182	3129
55	182	3080
56	183	3035
57	184	2990
58	184	2946
59	185	2903
60	185	2861
61	186	2821
62	187	2782
63	187	2745
64	188	2710
65	189	2675
66	189	2642
67	190	2610
68	191	2578
69	191	2547
70	192	2517
71	193	2488
72	193	2460
73	194	2433
74	195	2406
75	195	2380
76	196	2356
77	197	2330
78	197	2305
79	198	2280
80	198	2256
81	199	2233
82	199	2207
83	200	2185
84	201	2164
85	201	2144
86	202	2127
87	203	2109
88	204	2090
89	204	2070
90	205	2051
91	206	2033
92	206	2014
93	207	1996
94	207	1979
95	208	1963
96	209	1948
97	209	1932
98	210	1916
99	211	1901
100	212	1887
101	212	1872
102	213	1858
103	214	1845
104	214	1831
105	215	1818
106	216	1805
107	217	1793
108	217	1780
109	218	1767
110	219	1754
111	219	1742
112	220	1730
113	221	1719
114	221	1707
115	222	1696
116	223	1684
117	223	1673
118	224	1662
119	225	1651
120	225	1640
121	226	1629
122	227	1619
123	227	1610
124	228	1600
125	229	1590
126	229	1579
127	230	1570
128	231	1561
129	232	1552
130	232	1543
131	233	1535
132	234	1526
133	234	1517
134	235	1509
135	236	1500
136	236	1491
137	237	1483
138	238	1475
139	238	1467
140	239	1460
141	240	1451
142	240	1444
143	241	1436
144	242	1428
145	242	1421
146	243	1414
147	244	1406
148	245	1399
149	245	1393
150	246	1387
151	247	1380
152	248	1373
153	248	1367
154	249	1360
155	250	1354
156	250	1347
157	251	1341
158	252	1336
159	253	1330
160	253	1322
161	254	1316
162	255	1311
163	256	1305
164	256	1298
165	257	1292
166	257	1286
167	258	1280
168	259	1274
169	259	1268
170	260	1262
171	261	1257
172	261	1251
173	262	1245
174	262	1239
175	263	1233
176	264	1228
177	264	1223
178	265	1218
179	266	1213
180	266	1207
181	267	1202
182	268	1196
183	268	1191
184	269	1186
185	269	1181
186	270	1176
187	271	1172
188	272	1167
189	272	1162
190	273	1157
191	273	1152
192	274	1147
193	275	1143
194	275	1138
195	276	1133
196	276	1128
197	277	1124
198	278	1120
199	278	1115
200	279	1111
201	280	1106
202	280	1102
203	281	1097
204	281	1093
205	282	1088
206	283	1084
207	283	1080
208	284	1076
209	285	1072
210	285	1068
211	286	1063
212	286	1059
213	287	1055
214	287	1051
215	288	1047
216	289	1043
217	289	1039
218	290	1035
219	291	1031
220	291	1028
221	292	1024
222	292	1020
223	293	1016
224	294	1012
225	294	1009
226	295	1005
227	295	1001
228	296	998
229	297	994
230	297	991
231	298	987
232	298	983
233	299	980
234	300	976
235	300	973
236	301	970
237	301	966
238	302	964
239	303	960
240	304	957
241	304	954
242	305	951
243	305	948
244	306	944
245	307	941
246	307	938
247	308	935
248	309	932
249	309	929
250	310	926
251	311	923
252	311	919
253	312	916
254	312	913
255	313	910
256	314	907
257	314	904
258	315	902
259	316	899
260	316	896
261	317	893
262	317	890
263	318	888
264	319	885
265	319	882
266	320	879
267	320	876
268	321	874
269	322	871
270	322	868
271	323	866
272	324	863
273	324	860
274	325	858
275	326	855
276	326	852
277	327	849
278	327	847
279	328	844
280	329	842
281	329	839
282	330	836
283	330	834
284	331	831
285	332	828
286	332	826
287	333	824
288	334	822
289	334	819
290	335	817
291	335	814
292	336	812
293	337	809
294	337	807
295	338	804
296	338	802
297	339	799
298	340	797
299	340	795
300	341	793
301	342	790
302	342	788
303	343	786
304	343	783
305	344	781
306	345	779
307	345	776
308	346	774
309	347	772
310	347	770
311	348	768
312	349	766
313	349	763
314	350	761
315	350	759
316	351	757
317	352	755
318	352	753
319	353	751
320	354	749
321	354	747
322	355	744
323	356	742
324	356	740
325	357	738
326	357	736
327	358	734
328	359	732
329	359	730
330	360	728
331	360	726
332	361	724
333	362	722
334	362	720
335	363	718
336	364	716
337	364	714
338	365	712
339	366	710
340	366	708
341	367	706
342	367	704
343	368	702
344	369	700
345	369	698
346	370	696
347	370	694
348	371	692
349	372	690
350	372	688
351	373	687
352	373	685
353	374	683
354	375	681
355	375	679
356	376	677
357	376	675
358	377	674
359	378	672
360	378	670
361	379	668
362	380	667
363	380	665
364	381	663
365	382	661
366	382	660
367	383	658
368	384	656
369	384	655
370	385	653
371	385	651
372	386	649
373	387	648
374	387	646
375	388	644
376	388	642
377	389	640
378	389	639
379	390	637
380	391	635
381	391	634
382	392	632
383	393	630
384	393	629
385	394	627
386	395	625
387	395	624
388	396	622
389	397	621
390	397	619
391	398	618
392	399	616
393	399	614
394	400	613
395	401	611
396	401	610
397	402	608
398	403	607
399	404	606
400	404	604
401	405	603
402	406	601
403	406	600
404	407	598
405	407	596
406	408	595
407	409	593
408	409	592
409	410	590
410	411	589
411	411	587
412	412	586
413	412	584
414	413	583
415	414	581
416	414	579
417	415	578
418	416	577
419	416	575
420	417	573
421	417	572
422	418	570
423	419	569
424	419	568
425	420	566
426	421	565
427	421	563
428	422	562
429	423	561
430	424	559
431	424	558
432	425	556
433	425	555
434	426	553
435	426	552
436	427	550
437	428	549
438	428	548
439	429	546
440	430	545
441	430	543
442	431	542
443	431	540
444	432	539
445	433	538
446	433	536
447	434	535
448	435	533
449	435	532
450	436	531
451	437	529
452	437	528
453	438	527
454	438	525
455	439	524
456	440	522
457	440	521
458	441	520
459	441	518
460	442	517
461	443	516
462	443	514
463	444	513
464	444	511
465	445	510
466	446	509
467	446	507
468	447	506
469	448	505
470	448	504
471	449	502
472	450	501
473	450	500
474	451	498
475	451	497
476	452	496
477	453	494
478	453	493
479	454	492
480	455	490
481	455	489
482	456	488
483	456	486
484	457	485
485	458	484
486	458	483
487	459	481
488	459	480
489	460	479
490	461	478
491	461	476
492	462	475
493	463	474
494	463	473
495	464	471
496	464	470
497	465	469
498	466	467
499	466	466
500	467	465
501	468	464
502	468	462
503	469	461
504	469	460
505	470	459
506	470	457
507	471	456
508	472	455
509	472	454
510	473	453
511	474	451
512	474	450
513	475	449
514	475	448
515	476	446
516	477	445
517	477	444
518	478	443
519	479	442
520	479	441
521	480	439
522	481	438
523	481	437
524	482	436
525	482	435
526	483	433
527	483	432
528	484	431
529	485	430
530	485	429
531	486	428
532	487	426
533	487	425
534	488	424
535	488	423
536	489	421
537	489	420
538	490	419
539	491	418
540	492	417
541	492	416
542	493	415
543	493	414
544	494	412
545	495	411
546	495	410
547	496	409
548	496	408
549	497	407
550	498	406
551	498	404
552	499	403
553	500	402
554	500	401
555	501	400
556	501	399
557	502	398
558	503	396
559	503	395
560	504	394
561	505	393
562	505	392
563	506	391
564	506	390
565	507	389
566	508	388
567	508	386
568	509	385
569	510	384
570	510	383
571	511	382
572	511	381
573	512	380
574	513	379
575	513	378
576	514	377
577	515	376
578	515	374
579	516	373
580	517	372
581	517	371
582	518	370
583	518	369
584	519	368
585	520	367
586	520	366
587	521	365
588	522	364
589	522	363
590	523	362
591	524	361
592	524	360
593	525	358
594	525	357
595	526	356
596	526	355
597	527	354
598	528	353
599	528	352
600	529	351
601	530	350
602	530	349
603	531	348
604	531	347
605	532	346
606	533	345
607	533	343
608	534	342
609	534	341
610	535	340
611	536	339
612	536	339
613	537	338
614	538	337
615	539	336
616	539	335
617	540	334
618	541	333
619	541	332
620	542	331
621	543	330
622	544	329
623	544	328
624	545	327
625	545	326
626	546	325
627	547	324
628	547	323
629	548	322
630	549	321
631	549	320
632	550	319
633	551	318
634	551	317
635	552	316
636	553	315
637	553	314
638	554	313
639	555	312
640	555	311
641	556	310
642	557	309
643	557	308
644	558	307
645	559	306
646	559	305
647	560	304
648	561	303
649	561	302
650	562	301
651	563	300
652	563	299
653	564	298
654	564	297
655	565	296
656	566	295
657	566	294
658	567	293
659	568	292
660	568	291
661	569	290
662	569	289
663	570	288
664	571	287
665	571	286
666	572	285
667	573	285
668	574	284
669	574	283
670	575	282
671	576	281
672	576	280
673	577	279
674	577	278
675	578	277
676	579	276
677	580	275
678	580	274
679	581	273
680	582	272
681	582	271
682	583	270
683	583	269
684	584	268
685	585	267
686	585	266
687	586	265
688	587	265
689	587	264
690	588	263
691	589	262
692	589	261
693	590	260
694	591	259
695	591	258
696	592	257
697	593	256
698	593	255
699	594	254
700	595	253
701	595	252
702	596	252
703	597	251
704	598	250
705	599	249
706	599	248
707	600	247
708	601	246
709	602	245
710	603	245
711	603	244
712	605	243
713	605	242
714	606	241
715	607	241
716	608	240
717	609	239
718	610	238
719	610	237
720	611	236
721	612	235
722	613	235
723	614	234
724	614	233
725	615	232
726	616	231
727	617	230
728	617	229
729	618	228
730	619	227
731	620	227
732	621	226
733	622	225
734	623	224
735	623	223
736	624	222
737	625	222
738	626	221
739	626	220
740	627	219
741	628	218
742	628	217
743	629	216
744	630	215
745	630	214
746	631	213
747	632	213
748	632	212
749	633	211
750	634	210
751	635	209
752	635	208
753	636	207
754	637	206
755	637	205
756	638	205
757	639	204
758	640	203
759	640	202
760	641	201
761	642	200
762	643	199
763	644	198
764	644	198
765	645	197
766	646	196
767	646	195
768	647	194
769	647	193
770	648	192
771	649	191
772	650	191
773	651	190
774	651	189
775	652	188
776	652	187
777	653	186
778	654	185
779	655	184
780	656	183
781	656	183
782	657	182
783	658	181
784	658	180
785	659	179
786	660	178
787	660	177
788	661	176
789	662	175
790	662	175
791	663	174
792	663	173
793	664	172
794	665	171
795	665	170
796	666	169
797	667	168
798	667	167
799	668	167
800	669	166
801	669	165
802	670	164
803	670	163
804	671	162
805	671	161
806	672	160
807	673	159
808	673	159
809	674	158
810	675	157
811	675	156
812	676	155
813	677	154
814	677	153
815	678	152
816	678	152
817	679	151
818	680	150
819	681	149
820	682	148
821	682	147
822	683	146
823	683	146
824	684	145
825	685	144
826	685	143
827	686	142
828	687	141
829	687	140
830	688	140
831	689	139
832	689	138
833	690	137
834	690	136
835	691	135
836	692	134
837	692	133
838	693	133
839	694	132
840	694	131
841	695	130
842	695	129
843	696	128
844	697	127
845	697	127
846	698	126
847	699	125
848	699	124
849	700	123
850	701	122
851	701	121
852	702	121
853	702	120
854	703	119
855	703	118
856	704	117
857	705	116
858	706	115
859	706	115
860	707	114
861	707	113
862	708	112
863	709	111
864	709	110
865	710	109
866	710	109
867	711	108
868	712	107
869	712	106
870	713	105
871	714	104
872	714	103
873	715	103
874	715	102
875	716	101
876	717	100
877	717	99
878	718	98
879	719	98
880	719	97
881	720	96
882	720	95
883	721	94
884	722	93
885	722	93
886	723	92
887	724	91
888	724	90
889	725	89
890	726	88
891	726	87
892	727	87
893	727	86
894	728	85
895	729	84
896	729	83
897	730	82
898	731	82
899	731	81
900	732	80
901	732	79
902	733	78
903	734	77
904	734	77
905	735	76
906	735	75
907	736	74
908	737	73
909	738	72
910	738	72
911	739	71
912	739	70
913	740	69
914	740	68
915	741	67
916	742	67
917	742	66
918	743	65
919	744	64
920	744	63
921	745	63
922	745	62
923	746	61
924	747	60
925	747	59
926	748	58
927	749	58
928	749	57
929	750	56
930	751	55
931	751	54
932	752	54
933	753	53
934	753	52
935	754	51
936	754	50
937	755	49
938	756	49
939	757	48
940	757	47
941	758	46
942	758	45
943	759	45
944	760	44
945	760	43
946	761	42
947	761	41
948	762	40
949	763	40
950	763	39
951	764	38
952	765	37
953	765	36
954	766	36
955	766	35
956	767	34
957	768	33
958	768	32
959	769	32
960	770	31
961	770	30
962	771	29
963	771	28
964	772	28
965	772	27
966	773	26
967	774	25
968	774	24
969	775	23
970	776	23
971	776	22
972	777	21
973	777	20
974	778	19
975	779	19
976	779	18
977	780	17
978	781	16
979	782	15
980	782	15
981	783	14
982	784	13
983	784	12
984	785	11
985	785	11
986	786	10
987	787	9
988	787	8
989	788	7
990	788	7
991	789	6
992	790	5
993	790	4
994	791	3
995	792	3
996	792	2
997	793	1
998	794	0
999	794	0
